OBJECTID_12,Spring w Flow,OID_,DEQ_NUMBER,SINGLE_MULTIPLE_TREND,LATNAD83DD,LONGNAD83D,DATE_MEASURED,TIME_MEASURED,DISCHARGE_METHOD,METER_TYPE,DATA_SOURCE,DISCHARGE_GPM,DISCHARGE_CFS,MGD,Temp_Water_C,Temp_Air_C,SPECIFIC_CONDUCTIVITY_uS_cm_C,CONDUCTIVITY_uS_cm,TDS_g_L,Salinity_ppt,DO_Conc_mg_L,pH,Acid_Neutralizing_Capacity_mg_L_Field_Titration,Bicarbonate_mg_L_Field_Titration,Carbonate_mg_L_Field_Titration,Chloride_Filtered_mg_L,FIELD_COMMENTS,OBJECTID_1,OBJECTID,DEQ_NUMBER_sites,SPRING_NAME,USGS_SITE_ID,VWUDS_MPID,OTHER_ID,SITE_COMMENTS,DATE_INVENTORIED_INITIAL,NUMBER_OF_OPENINGS,ALTITUDE_FT_AMSL,NED_10M_PROJECTED_ELEVATION_FT_AMSL,LATITUDE_NAD83_DMS,LONGITUDE_NAD83_DMS,LATNAD83DD_sites,LONGNAD83DD_sites,Site_Photo_Field_Notes,COUNTY,TOPO_SETTING,NATIONAL_WATER_USE,IMPROVEMENTS,SPHERE_OF_DISCHARGE,OWNER,DATA_COLLECTOR,HDATUM,LATLONGSOURCE,QUAD_NAME,GENERAL_LITHOLOGY,USGS_500K_GEOL_LABEL,USGS_500K_GEOLOGY,USGS_500K_GEOL_UNIT_LINK,USGS_500K_GEOL_AGE,USGS_500K_GEOL_ROCKTYPE1,USGS_500K_GEOL_ROCKTYPE2,USGS_500K_GEOL_FORMATION_NAME,USGS_500K_GEOL_FORMATION_PERIOD,MAJOR_BASIN_NAME,BASIN_NAME,BASIN_CODE,USGS_HUC_CODE,HUC_NAME,HUC_DRAIN,VDOF_LAND_USE,PROVINCE,PROVINCE_SECTION
5,1,1136,101-00852,SINGLE,38.21457579,-78.7430783,8/7/1985,,ESTIMATED,,SWCB,4,0.01,0.01,10,-9999,13,-9999,-9999,-9999,-9999,5.75,-9999,-9999,-9999,-9999,,1193,8,101-00852,BLACKROCK SPRING,,,DGIF: 4,USED BY HIKERS ALONG APPALACHIAN TRAIL.  LOCATION COULD NOT BE VERIFIED USING VGIN IMAGERY.,0,0,0,2642,381252.4728,784435.0819,38.21457579,-78.7430783,YES,ALBEMARLE,,NOT USED,,,"SHENANDOAH NATIONAL PARK, ,",SWCB,NAD27,MAP,BROWNS COVE,SILICICLASTIC,[ch,[ch,VACAch;0,Cambrian,quartzite,conglomerate,Chilhowee Group,Cambrian,James River Basin,Middle James River and Appomattox River Subbasin,2B,2080204,MOORMANS RIVER,H,Hardwood Forest,BLUE RIDGE,NORTHERN
2463,284,2967,182-01225,TREND,38.47255389,-78.7750925,5/28/2014,,MEASURED,,USGS,727.06,1.62,1.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,908,1225,182-01225,SMITH CREEK SPRING NEAR HARRISONBURG,1632802,,,FLOW AND WQ MONITORED SINCE 5/21/12 AS PART OF USGS SMITH CREEK WATERSHED STUDY.,20140605,0,1300,1302,382821.194,784630.333,38.47255389,-78.7750925,No,ROCKINGHAM,VALLEY FLAT,,,,,USGS,NAD83,VGIN,HARRISONBURG,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,SMITH CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
2464,284,2966,182-01225,TREND,38.47255389,-78.7750925,5/1/2013,,MEASURED,,USGS,605.88,1.35,0.87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,908,1225,182-01225,SMITH CREEK SPRING NEAR HARRISONBURG,1632802,,,FLOW AND WQ MONITORED SINCE 5/21/12 AS PART OF USGS SMITH CREEK WATERSHED STUDY.,20140605,0,1300,1302,382821.194,784630.333,38.47255389,-78.7750925,No,ROCKINGHAM,VALLEY FLAT,,,,,USGS,NAD83,VGIN,HARRISONBURG,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,SMITH CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
2465,284,2962,182-01225,TREND,38.47255389,-78.7750925,5/21/2012,,MEASURED,,USGS,480.22,1.07,0.69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,908,1225,182-01225,SMITH CREEK SPRING NEAR HARRISONBURG,1632802,,,FLOW AND WQ MONITORED SINCE 5/21/12 AS PART OF USGS SMITH CREEK WATERSHED STUDY.,20140605,0,1300,1302,382821.194,784630.333,38.47255389,-78.7750925,No,ROCKINGHAM,VALLEY FLAT,,,,,USGS,NAD83,VGIN,HARRISONBURG,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,SMITH CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
2466,284,2963,182-01225,TREND,38.47255389,-78.7750925,7/18/2012,,MEASURED,,USGS,305.18,0.68,0.44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,908,1225,182-01225,SMITH CREEK SPRING NEAR HARRISONBURG,1632802,,,FLOW AND WQ MONITORED SINCE 5/21/12 AS PART OF USGS SMITH CREEK WATERSHED STUDY.,20140605,0,1300,1302,382821.194,784630.333,38.47255389,-78.7750925,No,ROCKINGHAM,VALLEY FLAT,,,,,USGS,NAD83,VGIN,HARRISONBURG,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,SMITH CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
2467,284,2965,182-01225,TREND,38.47255389,-78.7750925,1/29/2013,,MEASURED,,USGS,237.86,0.53,0.34,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,908,1225,182-01225,SMITH CREEK SPRING NEAR HARRISONBURG,1632802,,,FLOW AND WQ MONITORED SINCE 5/21/12 AS PART OF USGS SMITH CREEK WATERSHED STUDY.,20140605,0,1300,1302,382821.194,784630.333,38.47255389,-78.7750925,No,ROCKINGHAM,VALLEY FLAT,,,,,USGS,NAD83,VGIN,HARRISONBURG,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,SMITH CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
2468,284,2964,182-01225,TREND,38.47255389,-78.7750925,11/6/2012,,MEASURED,,USGS,228.89,0.51,0.33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,908,1225,182-01225,SMITH CREEK SPRING NEAR HARRISONBURG,1632802,,,FLOW AND WQ MONITORED SINCE 5/21/12 AS PART OF USGS SMITH CREEK WATERSHED STUDY.,20140605,0,1300,1302,382821.194,784630.333,38.47255389,-78.7750925,No,ROCKINGHAM,VALLEY FLAT,,,,,USGS,NAD83,VGIN,HARRISONBURG,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,SMITH CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
2469,285,3145,182-01285,SINGLE,38.67904732,-78.82773267,5/15/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,952,1269,182-01285,MAY SPRING 1,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130515,0,1740,1739,384044.5704,784939.8376,38.67904732,-78.82773267,YES,ROCKINGHAM,HILLSIDE,NOT USED,NONE,,,VDGMR,WGS84,GPS,TIMBERVILLE,SILICICLASTIC,Oun,Oun,VAOun;0,Ordovician,shale,mudstone,"Juniata, Oswego, Martinsburg (Reedsville and Dolly Ridge), Eggleston Formation",Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
2470,286,3146,182-01286,SINGLE,38.67702903,-78.83016486,5/15/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,953,1270,182-01286,MAY SPRING 2,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130515,1,1790,1786,384037.3045,784948.5935,38.67702903,-78.83016486,YES,ROCKINGHAM,HILLSIDE,,NONE,,,VDGMR,WGS84,GPS,TIMBERVILLE,SILICICLASTIC,Oun,Oun,VAOun;0,Ordovician,shale,mudstone,"Juniata, Oswego, Martinsburg (Reedsville and Dolly Ridge), Eggleston Formation",Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
2471,287,3147,182-01287,SINGLE,38.67272484,-78.80852199,12/6/2012,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,954,1271,182-01287,UNNAMED SPRING,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20121206,1,1450,1334,384021.8094,784830.6792,38.67272484,-78.80852199,YES,ROCKINGHAM,,,SPRING HOUSE,,,VDGMR,WGS84,GPS,TIMBERVILLE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Pavement,VALLEY AND RIDGE,MIDDLE
2472,288,3148,182-01288,SINGLE,38.65305781,-78.85179667,2/15/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,955,1272,182-01288,UNNAMED SPRING,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130215,1,1580,1565,383911.0081,785106.468,38.65305781,-78.85179667,YES,ROCKINGHAM,HILLSIDE,,NONE,,,VDGMR,WGS84,GPS,TIMBERVILLE,SILICICLASTIC,Oun,Oun,VAOun;0,Ordovician,shale,mudstone,"Juniata, Oswego, Martinsburg (Reedsville and Dolly Ridge), Eggleston Formation",Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
2473,289,3149,182-01289,SINGLE,38.64419483,-78.84057544,1/4/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,956,1273,182-01289,MILLER SPRING,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130104,1,1250,1249,383839.1014,785026.0716,38.64419483,-78.84057544,No,ROCKINGHAM,,LIVESTOCK,SPRING HOUSE,,,VDGMR,WGS84,GPS,TIMBERVILLE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
2474,290,3150,182-01290,SINGLE,38.63980223,-78.84926234,2/15/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,100,0.22,0.14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,957,1274,182-01290,UNNAMED SPRING,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130215,1,1100,1095,383823.288,785057.3444,38.63980223,-78.84926234,YES,ROCKINGHAM,HILLSIDE,,SPRING HOUSE,,,VDGMR,WGS84,GPS,TIMBERVILLE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
2475,291,3151,182-01291,SINGLE,38.63511913,-78.83357772,4/19/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,958,1275,182-01291,UNNAMED SPRING,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130419,1,1145,1131,383806.4289,785000.8798,38.63511913,-78.83357772,YES,ROCKINGHAM,HILLSIDE,,NONE,,,VDGMR,WGS84,GPS,TIMBERVILLE,CARBONATE,Ob,Ob,VAOb;0,Ordovician,dolostone (dolomite),limestone,Beekmantown Group,Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
2476,292,3152,182-01292,SINGLE,38.6346098,-78.83334858,4/19/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,959,1276,182-01292,UNNAMED SPRING,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130419,1,1125,1115,383804.5953,785000.0549,38.6346098,-78.83334858,YES,ROCKINGHAM,HILLSIDE,,NONE,,,VDGMR,WGS84,GPS,TIMBERVILLE,,Ob,Ob,VAOb;0,Ordovician,dolostone (dolomite),limestone,Beekmantown Group,Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
2477,293,3153,182-01293,SINGLE,38.63228682,-78.83159777,4/19/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,960,1277,182-01293,UNNAMED SPRING ON NORTH FORK SHENANDOAH,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130419,1,1040,1044,383756.2325,784953.752,38.63228682,-78.83159777,No,ROCKINGHAM,UPLAND DRAW,,NONE,,,VDGMR,WGS84,GPS,TIMBERVILLE,CARBONATE,Ob,Ob,VAOb;0,Ordovician,dolostone (dolomite),limestone,Beekmantown Group,Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Hardwood Forest,VALLEY AND RIDGE,MIDDLE
2478,294,3154,182-01294,SINGLE,38.62642378,-78.83442029,3/20/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,100,0.22,0.14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,961,1278,182-01294,UNNAMED SPRING,,,,cSPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.ollected by Matt Heller during geologic mapping of Timberville Quadrangle,20130320,1,1180,1178,383735.1256,785003.9131,38.62642378,-78.83442029,YES,ROCKINGHAM,,,SPRING HOUSE,SUBAQUEOUS,,VDGMR,WGS84,GPS,TIMBERVILLE,,Ob,Ob,VAOb;0,Ordovician,dolostone (dolomite),limestone,Beekmantown Group,Ordovician,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
2479,295,3155,182-01295,SINGLE,38.62716961,-78.84602836,1/23/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,962,1279,182-01295,MILLER SPRING,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130123,1,1100,1113,383737.8106,785045.7021,38.62716961,-78.84602836,YES,ROCKINGHAM,HILLSIDE,,NONE,SUBAQUEOUS,,VDGMR,WGS84,GPS,TIMBERVILLE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Pine Forest,VALLEY AND RIDGE,MIDDLE
2480,296,3156,182-01296,SINGLE,38.63251703,-78.85099852,1/23/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,963,1280,182-01296,UNNAMED SPRING,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130123,1,1140,1124,383757.0613,785103.5947,38.63251703,-78.85099852,YES,ROCKINGHAM,UPLAND DRAW,,SPRING HOUSE,SUBAQUEOUS,,VDGMR,WGS84,GPS,TIMBERVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
2481,297,3157,182-01297,SINGLE,38.63094057,-78.85568728,1/29/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,964,1281,182-01297,UNNAMED SPRING,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130129,1,1190,1193,383751.386,785120.4742,38.63094057,-78.85568728,YES,ROCKINGHAM,UPLAND DRAW,,SPRING HOUSE,SUBAQUEOUS,,VDGMR,WGS84,GPS,TIMBERVILLE,,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Crop,VALLEY AND RIDGE,MIDDLE
2482,298,3158,182-01298,SINGLE,38.63234888,-78.86302949,3/20/2013,,ESTIMATED,,OTHER GOVERNMENT AGENCY,10,0.02,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,965,1282,182-01298,SHOWALTER SPRING NEAR NORTH MOUNTAIN FAULT,,,,SPRING INVENTORIED DURING GEOLOGIC MAPPING OF TIMBERVILLE QUAD BY MATT HELLER VDMME.,20130320,0,1035,1153,383756.456,785146.9061,38.63234888,-78.86302949,No,ROCKINGHAM,HILLSIDE,,NONE,,,VDGMR,WGS84,GPS,TIMBERVILLE,CARBONATE,O[co,O[co,VAOCAco;0,Cambrian-Ordovician,limestone,dolostone (dolomite),Conococheague Formation,Ordovician - Cambrian,Shenandoah River Basin,Upper Potomac River and Shenandoah River Subbasin,1B,2070006,NORTH FORK SHENANDOAH RIVER/HOLMANS CREEK,B,Pine Forest,VALLEY AND RIDGE,MIDDLE
2483,299,3437,183-00126,TREND,36.86388889,-82.11388889,12/1/1948,,MEASURED,,VDWR,1404.74,3.13,2.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1477,1292,183-00126,WILL CUMBOLD SPRING,,,,location from vdwr bulletin.  Could not verify with aerial imagery.,20190304,0,2200,2192,365150,820650,36.86388889,-82.11388889,YES,RUSSELL,STREAM CHANNEL,,,,,,NAD27,MAP,BRUMLEY,CARBONATE,O[k,O[k,VAOCAk;0,Cambrian-Ordovician,dolostone (dolomite),limestone,Knox Group,Ordovician - Cambrian,Tennessee and Big Sandy River Basin,Clinch Powell River Subbasin,6B,6010205,BIG CEDAR CREEK,P,Residential/Industrial,VALLEY AND RIDGE,TENNESSEE
2484,299,3439,183-00126,TREND,36.86388889,-82.11388889,2/7/1949,,MEASURED,,VDWR,1328.45,2.96,1.91,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1477,1292,183-00126,WILL CUMBOLD SPRING,,,,location from vdwr bulletin.  Could not verify with aerial imagery.,20190304,0,2200,2192,365150,820650,36.86388889,-82.11388889,YES,RUSSELL,STREAM CHANNEL,,,,,,NAD27,MAP,BRUMLEY,CARBONATE,O[k,O[k,VAOCAk;0,Cambrian-Ordovician,dolostone (dolomite),limestone,Knox Group,Ordovician - Cambrian,Tennessee and Big Sandy River Basin,Clinch Powell River Subbasin,6B,6010205,BIG CEDAR CREEK,P,Residential/Industrial,VALLEY AND RIDGE,TENNESSEE
2485,299,3431,183-00126,TREND,36.86388889,-82.11388889,3/8/1948,,MEASURED,,VDWR,969.41,2.16,1.40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1477,1292,183-00126,WILL CUMBOLD SPRING,,,,location from vdwr bulletin.  Could not verify with aerial imagery.,20190304,0,2200,2192,365150,820650,36.86388889,-82.11388889,YES,RUSSELL,STREAM CHANNEL,,,,,,NAD27,MAP,BRUMLEY,CARBONATE,O[k,O[k,VAOCAk;0,Cambrian-Ordovician,dolostone (dolomite),limestone,Knox Group,Ordovician - Cambrian,Tennessee and Big Sandy River Basin,Clinch Powell River Subbasin,6B,6010205,BIG CEDAR CREEK,P,Residential/Industrial,VALLEY AND RIDGE,TENNESSEE
2486,299,3438,183-00126,TREND,36.86388889,-82.11388889,1/10/1949,,MEASURED,,VDWR,875.16,1.95,1.26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1477,1292,183-00126,WILL CUMBOLD SPRING,,,,location from vdwr bulletin.  Could not verify with aerial imagery.,20190304,0,2200,2192,365150,820650,36.86388889,-82.11388889,YES,RUSSELL,STREAM CHANNEL,,,,,,NAD27,MAP,BRUMLEY,CARBONATE,O[k,O[k,VAOCAk;0,Cambrian-Ordovician,dolostone (dolomite),limestone,Knox Group,Ordovician - Cambrian,Tennessee and Big Sandy River Basin,Clinch Powell River Subbasin,6B,6010205,BIG CEDAR CREEK,P,Residential/Industrial,VALLEY AND RIDGE,TENNESSEE
2487,299,3432,183-00126,TREND,36.86388889,-82.11388889,4/12/1948,,MEASURED,,VDWR,816.82,1.82,1.18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1477,1292,183-00126,WILL CUMBOLD SPRING,,,,location from vdwr bulletin.  Could not verify with aerial imagery.,20190304,0,2200,2192,365150,820650,36.86388889,-82.11388889,YES,RUSSELL,STREAM CHANNEL,,,,,,NAD27,MAP,BRUMLEY,CARBONATE,O[k,O[k,VAOCAk;0,Cambrian-Ordovician,dolostone (dolomite),limestone,Knox Group,Ordovician - Cambrian,Tennessee and Big Sandy River Basin,Clinch Powell River Subbasin,6B,6010205,BIG CEDAR CREEK,P,Residential/Industrial,VALLEY AND RIDGE,TENNESSEE
2488,299,3433,183-00126,TREND,36.86388889,-82.11388889,6/11/1948,,MEASURED,,VDWR,740.52,1.65,1.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1477,1292,183-00126,WILL CUMBOLD SPRING,,,,location from vdwr bulletin.  Could not verify with aerial imagery.,20190304,0,2200,2192,365150,820650,36.86388889,-82.11388889,YES,RUSSELL,STREAM CHANNEL,,,,,,NAD27,MAP,BRUMLEY,CARBONATE,O[k,O[k,VAOCAk;0,Cambrian-Ordovician,dolostone (dolomite),limestone,Knox Group,Ordovician - Cambrian,Tennessee and Big Sandy River Basin,Clinch Powell River Subbasin,6B,6010205,BIG CEDAR CREEK,P,Residential/Industrial,VALLEY AND RIDGE,TENNESSEE
2489,299,3426,183-00126,TREND,36.86388889,-82.11388889,4/25/1929,,MEASURED,,VDWR,614.86,1.37,0.89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1477,1292,183-00126,WILL CUMBOLD SPRING,,,,location from vdwr bulletin.  Could not verify with aerial imagery.,20190304,0,2200,2192,365150,820650,36.86388889,-82.11388889,YES,RUSSELL,STREAM CHANNEL,,,,,,NAD27,MAP,BRUMLEY,CARBONATE,O[k,O[k,VAOCAk;0,Cambrian-Ordovician,dolostone (dolomite),limestone,Knox Group,Ordovician - Cambrian,Tennessee and Big Sandy River Basin,Clinch Powell River Subbasin,6B,6010205,BIG CEDAR CREEK,P,Residential/Industrial,VALLEY AND RIDGE,TENNESSEE
2490,299,3441,183-00126,TREND,36.86388889,-82.11388889,4/4/1949,,MEASURED,,VDWR,529.58,1.18,0.76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,1477,1292,183-00126,WILL CUMBOLD SPRING,,,,location from vdwr bulletin.  Could not verify with aerial imagery.,20190304,0,2200,2192,365150,820650,36.86388889,-82.11388889,YES,RUSSELL,STREAM CHANNEL,,,,,,NAD27,MAP,BRUMLEY,CARBONATE,O[k,O[k,VAOCAk;0,Cambrian-Ordovician,dolostone (dolomite),limestone,Knox Group,Ordovician - Cambrian,Tennessee and Big Sandy River Basin,Clinch Powell River Subbasin,6B,6010205,BIG CEDAR CREEK,P,Residential/Industrial,VALLEY AND RIDGE,TENNESSEE
